,book_title,book_recommendation_urls
0,"Book of a Thousand Nights and a Night (Arabian Nights), Volume 05","['https://librivox.org/the-importance-of-being-earnest-by-oscar-wilde/', 'https://librivox.org/the-three-musketeers-by-alexandre-dumas/', 'https://librivox.org/the-amateur-cracksman-by-ew-hornung/', 'https://librivox.org/the-eclogues-by-publius-vergilius-maro/', 'https://librivox.org/a-ballad-of-john-silver-by-john-masefield/']"
1,Makers of Many Things,"['https://librivox.org/emma-by-jane-austen-solo/', 'https://librivox.org/the-importance-of-being-earnest-by-oscar-wilde/', 'https://librivox.org/the-story-of-a-stuffed-elephant-by-laura-lee-hope/', 'https://librivox.org/the-three-musketeers-by-alexandre-dumas/', 'https://librivox.org/the-eclogues-by-publius-vergilius-maro/', 'https://librivox.org/emma-by-jane-austen-3/']"
2,Beric the Briton: a Story of the Roman Invasion,"['https://librivox.org/police-operation-by-h-beam-piper/', 'https://librivox.org/studies-in-pessimism-by-arthur-schopenhauer/', 'https://librivox.org/red-shadows-by-robert-e-howard/', 'https://librivox.org/psalms-and-odes-of-solomon/', 'https://librivox.org/the-dutch-twins-by-lucy-fitch-perkins/']"
3,Our Journey to Sinai,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-merry-adventures-of-robin-hood-by-howard-pyle/']"
4,Chemical History of A Candle,"['https://librivox.org/a-calendar-of-sonnets-by-helen-hunt-jackson/', 'https://librivox.org/china-and-the-chinese-by-herbert-allen-giles/', 'https://librivox.org/lectures-on-landscape-by-john-ruskin/', 'https://librivox.org/the-midnight-queen-by-may-agnes-fleming/', 'https://librivox.org/incidents-in-the-life-of-a-slave-girl-by-harriet-jacobs/']"
5,Reminiscences of Forts Sumter and Moultrie in 1860-'61 (version 2),"['https://librivox.org/uncle-toms-cabin-by-harriet-beecher-stowe/', 'https://librivox.org/ranald-bannermans-boyhood-by-george-macdonald/', 'https://librivox.org/the-last-of-the-mohicans-by-james-fenimore-cooper/', 'https://librivox.org/my-man-jeeves-by-p-g-wodehouse/', 'https://librivox.org/barbara-frietchie-by-john-greenleaf-whittier/']"
6,Why Marry?,"['https://librivox.org/the-adventures-of-huckleberry-finn-by-mark-twain/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
7,Room with a View (version 2),"['https://librivox.org/hamlet-by-william-shakespeare/', 'https://librivox.org/history-of-england-volume-1-chapter-1/', 'https://librivox.org/the-man-who-was-thursday-a-nightmare-by-gk-chesterton/', 'https://librivox.org/the-awakening-by-kate-chopin/', 'https://librivox.org/sense-and-sensibility-by-jane-austen/']"
8,Bethink Yourselves!,"['https://librivox.org/the-canterville-ghost-by-oscar-wilde/', 'https://librivox.org/a-personal-anthology-of-shakespeare-compiled-by-martin-clifton/', 'https://librivox.org/china-and-the-chinese-by-herbert-allen-giles/', 'https://librivox.org/on-liberty-by-john-stuart-mill/', 'https://librivox.org/the-rocket-book-by-peter-newell/']"
9,Life and Adventures of Nicholas Nickleby (Version 2),"['https://librivox.org/the-three-musketeers-by-alexandre-dumas/', 'https://librivox.org/the-rosary-by-florence-louisa-barclay/', 'https://librivox.org/robinson-crusoe-written-anew-for-children-by-james-baldwin/', 'https://librivox.org/psmith-in-the-city-by-pg-wodehouse/', 'https://librivox.org/early-spring-by-fay-inchfawn/']"
10,Apology for Sadness,"['https://librivox.org/letters-of-two-brides-by-honore-de-balzac/', 'https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/']"
11,Wherein?,"['https://librivox.org/the-flag-goes-by-by-henry-holcomb-bennett/', 'https://librivox.org/the-gettysburg-address-by-abraham-lincoln/', 'https://librivox.org/the-gettysburg-address-by-abraham-lincoln-version-2/', 'https://librivox.org/the-romance-of-rubber-by-the-united-states-rubber-company/', 'https://librivox.org/us-historical-documents/']"
12,Secret of the Night,"['https://librivox.org/discourse-on-the-method-by-rene-descartes/', 'https://librivox.org/the-adventures-of-sherlock-holmes/', 'https://librivox.org/the-parenticide-club-by-ambrose-bierce/', 'https://librivox.org/the-prince-and-the-pauper-by-mark-twain/', 'https://librivox.org/fairy-tales-by-the-brothers-grimm/']"
13,Amazons: A Farcical Romance,"['https://librivox.org/the-adventures-of-huckleberry-finn-by-mark-twain/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/']"
14,Through the Fray,"['https://librivox.org/the-love-letters-of-abelard-and-heloise-by-peter-abelard-and-heloise/', 'https://librivox.org/the-story-of-mankind-by-hendrik-van-loon/', 'https://librivox.org/mr-midshipman-easy-by-frederick-marryat/', 'https://librivox.org/the-egoist-by-george-meredith/', 'https://librivox.org/aunt-janes-hero-by-elizabeth-prentiss/']"
15,Riddle Ring,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/narrative-of-arthur-gordon-pym/']"
16,Myths of Babylonia and Assyria,"['https://librivox.org/a-girl-of-the-limberlost-by-gene-stratton-porter/', 'https://librivox.org/cathay-by-ezra-pound/', 'https://librivox.org/our-island-story-part-2-by-he-marshall/', 'https://librivox.org/sadhana-by-rabindranath-tagore/', 'https://librivox.org/the-man-who-knew-too-much-by-g-k-chesterton/']"
17,Great Gold Rush: A Tale of the Klondike,"['https://librivox.org/the-shirley-letters-from-california-mines-by-louise-amelia-clappe/', 'https://librivox.org/selections-from-ballads-of-a-cheechako-by-robert-service/', 'https://librivox.org/australia-felix-by-henry-handel-richardson/', 'https://librivox.org/a-gold-hunters-experience-by-chalkley-j-hambleton/', 'https://librivox.org/the-outspan-by-percy-fitzpatrick/']"
18,Miss Billy Married,"['https://librivox.org/the-story-of-my-life-by-helen-keller/', 'https://librivox.org/their-mutual-child-by-p-g-wodehouse/', 'https://librivox.org/the-winters-tale-by-william-shakespeare/', 'https://librivox.org/alls-well-that-ends-well-by-william-shakespeare/', 'https://librivox.org/the-trees-of-pride-by-g-k-chesterton/']"
19,Bible (KJV) NT 07: 1 Corinthians,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-merry-adventures-of-robin-hood-by-howard-pyle/']"
20,Woodpeckers,"['https://librivox.org/the-adventures-of-huckleberry-finn-by-mark-twain/', 'https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/the-foolish-dictionary-by-gideon-wurdz/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/']"
21,Bible (KJV) 28-39: Minor Prophets (Hosea through Malachi),"['https://librivox.org/the-book-of-job/', 'https://librivox.org/the-book-of-jonah/', 'https://librivox.org/book-of-tobias-douay-rheims-version/', 'https://librivox.org/utilitarianism-by-john-stuart-mill/', 'https://librivox.org/the-sorrows-of-young-werther-by-johann-wolfgang-von-goethe/']"
22,Lives of the Saints: With Reflections for Every Day in the Year,"['https://librivox.org/the-rosary-by-florence-louisa-barclay/', 'https://librivox.org/the-prince-and-the-pauper-by-mark-twain/', 'https://librivox.org/the-story-of-my-life-by-helen-keller/', 'https://librivox.org/scarecrow-of-oz-by-l-frank-baum/', 'https://librivox.org/a-house-boat-on-the-styx-by-john-kendrick-bangs/']"
23,Outlet,"['https://librivox.org/canadas-one-hundred-days-part-on-by-john-livesay/', 'https://librivox.org/joseph-andrews-by-henry-fielding/', 'https://librivox.org/canadas-one-hundred-days-part-two-by-john-livesay/', 'https://librivox.org/canadas-hundred-days-part-three-by-john-livesay/', 'https://librivox.org/the-log-of-a-cowboy-by-andy-adams/']"
24,Headless Horseman - A Strange Tale of Texas,"['https://librivox.org/letters-of-two-brides-by-honore-de-balzac/', 'https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/']"
25,Quiet Talks about Jesus,"['https://librivox.org/diary-of-a-u-boat-commander-by-sir-stephen-king-hall/', 'https://librivox.org/quiet-talks-about-jesus-by-s-d-gordon/', 'https://librivox.org/god-the-invisible-king-by-h-g-wells/', 'https://librivox.org/on-generation-and-corruption-by-aristotle/', 'https://librivox.org/the-bible-for-young-people-volume-1-by-anonymous/']"
26,Secret Battle,"['https://librivox.org/unbeaten-tracks-in-japan-by-isabella-l-bird/', 'https://librivox.org/a-vindication-of-the-rights-of-woman-by-mary-wollstonecraft/', 'https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/mrs-caudles-curtain-lectures-by-douglas-william-jerrold/', 'https://librivox.org/the-merry-adventures-of-robin-hood-by-howard-pyle/']"
27,Coffee Break Collection 006 - Food and Drink,"['https://librivox.org/the-consolation-of-philosophy-by-boethius/', 'https://librivox.org/spirits-in-bondage-by-cs-lewis/', 'https://librivox.org/short-poetry-collection-001/', 'https://librivox.org/short-poetry-collection-002/', 'https://librivox.org/short-poetry-collection-003/']"
28,Near and Far,"['https://librivox.org/a-ballad-of-john-silver-by-john-masefield/', 'https://librivox.org/art-and-heart-by-ella-wheeler-wilcox/', 'https://librivox.org/a-vagabond-song-by-bliss-carman/', 'https://librivox.org/death-be-not-proud-by-john-donne/', 'https://librivox.org/a-noiseless-patient-spider-by-walt-whitman/']"
29,Hindu Book of Astrology,"['https://librivox.org/is-he-popenjoy-by-anthony-trollope/', 'https://librivox.org/mudfog-and-other-sketches-by-charles-dickens/', 'https://librivox.org/invention-and-discovery-curious-facts-and-characteristic-sketches-by-unknown/', 'https://librivox.org/st-rose-of-lima-the-flower-of-the-new-world-by-florence-mary-capes/', 'https://librivox.org/the-mummy-and-miss-nitocris-a-phantasy-of-the-fourth-dimension-by-george-griffith/']"
30,Journey to the Centre of the Earth,"['https://librivox.org/bleak-house-by-charles-dickens/', 'https://librivox.org/penguin-island-by-anatole-france/', 'https://librivox.org/this-side-of-paradise-by-f-scott-fitzgerald', 'https://librivox.org/the-odyssey-by-homer/', 'https://librivox.org/the-divine-comedy-by-dante-alighieri/']"
31,"Wit and Humor of America, Vol 05","['https://librivox.org/the-junior-classics-vol-1-by-william-patten/', 'https://librivox.org/crome-yellow-by-aldous-huxley/', 'https://librivox.org/little-wizard-stories-of-oz-by-l-frank-baum/', 'https://librivox.org/reginald-by-saki/', 'https://librivox.org/the-little-lame-prince-by-miss-mulock/']"
